team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CHI,2008,CHI,2008030181,CHI,CGY,HOME,20090416,Team Level,other,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI,2008,CHI,2008030181,CHI,CGY,HOME,20090416,Team Level,all,0.4447,0.5952,0.5797,3612.0,27.759,1.525,1.623,7.054,0.882,15.781,12.201,1.499,1.451,1.426,28.0,12.0,10.0,50.0,3.0,2.0,1.0,6.0,1.0,11.0,17.0,25.0,37.0,2.0,6.0,34.0,38.0,6.0,5.0,37.0,2.0,1.0,0.934,0.25,0.341,2.0,0.0,1.0,47.721,40.0,38.321,4.0,0.345,0.499,0.499,1.306,1.244,1.234,22.236,1.904,1.905,4.581,0.662,11.691,8.257,1.847,2.026,1.964,25.0,4.0,5.0,34.0,2.0,2.0,1.0,9.0,0.0,4.0,12.0,23.0,27.0,3.0,6.0,22.0,24.0,5.0,1.0,22.0,5.0,2.0,0.611,0.75,0.544,0.0,1.0,1.0,35.652,29.0,30.409,0.0,0.431,0.316,0.316,2.019,2.131,2.124
CHI,2008,CHI,2008030181,CHI,CGY,HOME,20090416,Team Level,5on5,0.4233,0.6324,0.6182,2886.0,23.745,1.305,1.272,6.228,0.776,13.077,10.407,1.282,1.231,1.209,23.0,11.0,9.0,43.0,3.0,2.0,1.0,5.0,1.0,8.0,15.0,20.0,31.0,2.0,6.0,27.0,38.0,6.0,3.0,31.0,2.0,1.0,0.714,0.25,0.341,2.0,0.0,1.0,40.721,34.0,32.321,2.0,0.26,0.499,0.499,1.001,0.939,0.933,16.126,1.778,1.217,3.318,0.487,8.106,6.092,1.722,1.9,1.838,20.0,1.0,4.0,25.0,2.0,1.0,1.0,7.0,0.0,3.0,8.0,18.0,19.0,2.0,4.0,19.0,22.0,3.0,1.0,14.0,5.0,2.0,0.485,0.75,0.544,0.0,1.0,1.0,26.652,21.0,22.409,0.0,0.257,0.305,0.305,1.73,1.841,1.836
CHI,2008,CHI,2008030181,CHI,CGY,HOME,20090416,Team Level,4on5,0.0968,0.1111,0.125,360.0,0.716,0.009,0.024,0.115,0.018,0.223,0.611,0.009,0.009,0.009,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.007,0.0,0.0,0.016,0.016,0.016,5.379,0.084,0.664,1.162,0.155,3.337,1.599,0.083,0.084,0.083,5.0,2.0,1.0,8.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,5.0,7.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.17,0.012,0.012,0.242,0.242,0.24
CHI,2008,CHI,2008030181,CHI,CGY,HOME,20090416,Team Level,5on4,0.834,0.8571,0.8333,360.0,3.299,0.211,0.327,0.711,0.088,2.481,1.182,0.207,0.211,0.207,4.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.211,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,0.078,0.0,0.0,0.289,0.289,0.284,0.731,0.042,0.024,0.101,0.019,0.247,0.566,0.042,0.042,0.042,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.047,0.047,0.047
CHI,2008,CHI,2008030182,CHI,CGY,HOME,20090418,Team Level,other,0.0632,0.1667,0.3333,203.0,0.708,0.017,0.039,0.205,0.023,0.386,0.33,0.017,0.017,0.017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.009,0.0,0.0,0.026,0.026,0.026,1.615,0.252,0.095,0.29,0.044,0.603,0.717,0.252,0.252,0.252,2.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.071,0.181,0.0,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.025,0.0,0.0,0.277,0.277,0.277
CHI,2008,CHI,2008030182,CHI,CGY,HOME,20090418,Team Level,all,0.5259,0.5258,0.5455,3600.0,31.498,3.097,2.359,6.989,0.968,16.752,11.835,3.042,3.015,2.961,33.0,9.0,9.0,51.0,3.0,3.0,1.0,8.0,0.0,9.0,19.0,30.0,39.0,5.0,10.0,33.0,35.0,8.0,6.0,26.0,13.0,3.0,0.724,1.622,0.752,0.0,2.0,1.0,49.6,42.0,41.135,5.0,0.505,0.752,0.752,2.851,2.764,2.74,26.185,2.792,1.775,5.494,0.764,13.734,10.441,2.747,2.866,2.82,32.0,3.0,11.0,46.0,2.0,2.0,1.0,5.0,0.0,11.0,15.0,30.0,33.0,4.0,8.0,24.0,37.0,5.0,3.0,27.0,5.0,3.0,0.768,0.635,1.389,0.0,1.0,1.0,47.346,35.0,36.01,2.0,0.381,1.183,1.183,1.991,2.077,2.041
CHI,2008,CHI,2008030182,CHI,CGY,HOME,20090418,Team Level,5on5,0.6301,0.5769,0.5692,2798.0,27.782,2.788,1.984,6.217,0.868,14.548,10.595,2.74,2.706,2.659,28.0,9.0,8.0,45.0,2.0,3.0,1.0,7.0,0.0,7.0,18.0,26.0,35.0,3.0,6.0,24.0,31.0,7.0,4.0,23.0,11.0,3.0,0.613,1.423,0.752,0.0,1.0,1.0,43.6,37.0,36.135,4.0,0.416,0.752,0.752,2.452,2.366,2.35,20.542,1.637,1.331,4.559,0.605,11.123,8.743,1.596,1.711,1.67,25.0,3.0,5.0,33.0,0.0,1.0,0.0,4.0,0.0,10.0,13.0,25.0,28.0,4.0,8.0,19.0,34.0,3.0,1.0,22.0,4.0,2.0,0.648,0.454,0.536,0.0,0.0,0.0,34.346,28.0,29.01,1.0,0.271,0.329,0.329,1.58,1.666,1.631
CHI,2008,CHI,2008030182,CHI,CGY,HOME,20090418,Team Level,4on5,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028,0.903,0.349,0.645,0.115,2.007,0.98,0.899,0.903,0.899,5.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,0.049,0.0,0.854,0.0,0.0,1.0,7.0,5.0,5.0,0.0,0.085,0.854,0.854,0.135,0.135,0.134
CHI,2008,CHI,2008030182,CHI,CGY,HOME,20090418,Team Level,5on4,1.0,0.8333,1.0,308.0,3.008,0.293,0.336,0.567,0.077,1.817,0.91,0.285,0.293,0.285,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.094,0.198,0.0,0.0,1.0,0.0,5.0,4.0,4.0,0.0,0.08,0.0,0.0,0.373,0.373,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
