team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2012,NYI,2012030111,NYI,PIT,AWAY,20130501,Team Level,other,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.202,0.331,0.102,0.255,0.066,0.765,0.481,0.276,0.331,0.276,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.035,0.0,0.0,0.366,0.366,0.305
NYI,2012,NYI,2012030111,NYI,PIT,AWAY,20130501,Team Level,all,0.2597,0.5636,0.5263,3600.0,28.088,1.122,1.813,6.535,0.861,17.099,12.57,1.108,1.097,1.084,26.0,14.0,22.0,62.0,0.0,0.0,0.0,6.0,2.0,17.0,15.0,26.0,40.0,4.0,11.0,32.0,41.0,3.0,4.0,38.0,2.0,0.0,0.831,0.291,0.0,0.0,0.0,0.0,58.184,40.0,38.679,1.0,0.396,0.0,0.0,1.518,1.487,1.471,26.861,3.198,1.968,5.512,0.837,14.842,9.642,2.966,3.235,3.002,26.0,10.0,12.0,48.0,5.0,3.0,1.0,5.0,1.0,11.0,11.0,21.0,31.0,4.0,8.0,30.0,36.0,7.0,2.0,21.0,12.0,3.0,0.81,1.628,0.76,2.0,2.0,1.0,50.644,36.0,36.98,1.0,0.454,0.76,0.76,2.893,2.929,2.768
NYI,2012,NYI,2012030111,NYI,PIT,AWAY,20130501,Team Level,5on5,0.348,0.6234,0.5769,2747.0,21.092,1.01,1.197,5.144,0.657,12.423,9.568,0.997,0.985,0.972,19.0,11.0,18.0,48.0,0.0,0.0,0.0,4.0,2.0,12.0,12.0,19.0,30.0,3.0,9.0,25.0,36.0,3.0,3.0,28.0,2.0,0.0,0.719,0.291,0.0,0.0,0.0,0.0,44.184,30.0,28.679,1.0,0.241,0.0,0.0,1.25,1.22,1.205,17.16,1.892,1.199,3.704,0.508,8.72,5.978,1.785,1.93,1.821,18.0,4.0,7.0,29.0,3.0,3.0,1.0,4.0,1.0,5.0,6.0,15.0,19.0,4.0,8.0,18.0,35.0,7.0,2.0,15.0,4.0,3.0,0.568,0.564,0.76,1.0,1.0,1.0,31.644,22.0,22.98,1.0,0.253,0.76,0.76,1.386,1.422,1.408
NYI,2012,NYI,2012030111,NYI,PIT,AWAY,20130501,Team Level,4on5,0.0174,0.0588,0.0833,341.0,0.74,0.017,0.026,0.133,0.02,0.229,0.576,0.017,0.017,0.017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.023,0.023,0.023,7.777,0.961,0.646,1.458,0.243,5.104,2.588,0.891,0.961,0.891,8.0,3.0,5.0,16.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,6.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,6.0,0.0,0.228,0.733,0.0,1.0,1.0,0.0,16.0,11.0,11.0,0.0,0.162,0.0,0.0,1.122,1.122,1.036
NYI,2012,NYI,2012030111,NYI,PIT,AWAY,20130501,Team Level,5on4,0.8716,0.9286,0.9,480.0,6.255,0.095,0.591,1.258,0.183,4.447,2.426,0.095,0.095,0.095,6.0,3.0,4.0,13.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,6.0,9.0,0.0,0.0,3.0,2.0,0.0,1.0,9.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,13.0,9.0,9.0,0.0,0.15,0.0,0.0,0.245,0.245,0.244,0.722,0.014,0.022,0.095,0.02,0.253,0.596,0.014,0.014,0.014,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.019,0.019,0.019
NYI,2012,NYI,2012030112,NYI,PIT,AWAY,20130503,Team Level,other,0.8079,0.5556,0.6667,208.0,2.919,0.164,0.131,0.714,0.091,1.387,1.513,0.162,0.164,0.162,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.033,0.0,0.0,0.197,0.197,0.194,1.342,0.039,0.093,0.311,0.042,0.88,0.634,0.039,0.039,0.039,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.022,0.0,0.0,0.062,0.062,0.062
NYI,2012,NYI,2012030112,NYI,PIT,AWAY,20130503,Team Level,all,0.5248,0.5809,0.5769,3600.0,43.827,3.73,3.131,9.463,1.367,24.29,18.02,3.636,3.8,3.707,42.0,18.0,19.0,79.0,4.0,3.0,1.0,10.0,1.0,16.0,26.0,38.0,56.0,5.0,15.0,23.0,31.0,4.0,2.0,47.0,8.0,5.0,1.167,1.058,1.505,1.0,1.0,2.0,78.423,60.0,60.063,1.0,0.693,0.719,0.719,3.703,3.766,3.675,32.353,3.377,2.45,7.629,1.111,17.018,12.414,3.204,3.356,3.183,33.0,11.0,13.0,57.0,3.0,5.0,2.0,8.0,1.0,10.0,17.0,30.0,41.0,6.0,15.0,36.0,28.0,4.0,11.0,29.0,9.0,6.0,0.89,0.991,1.496,0.0,0.0,3.0,57.354,44.0,44.394,3.0,0.559,1.265,1.265,2.671,2.642,2.593
NYI,2012,NYI,2012030112,NYI,PIT,AWAY,20130503,Team Level,5on5,0.5982,0.61,0.5974,2642.0,34.338,2.908,2.394,7.641,1.051,18.198,13.808,2.823,2.978,2.894,33.0,13.0,15.0,61.0,3.0,3.0,1.0,8.0,1.0,11.0,20.0,30.0,43.0,5.0,15.0,20.0,27.0,4.0,0.0,34.0,8.0,4.0,0.916,1.058,0.934,1.0,1.0,1.0,60.423,46.0,46.063,0.0,0.5,0.719,0.719,2.688,2.751,2.67,22.721,1.953,1.576,5.228,0.783,11.888,9.573,1.835,1.932,1.813,22.0,9.0,8.0,39.0,2.0,3.0,2.0,6.0,0.0,7.0,13.0,20.0,29.0,5.0,13.0,23.0,26.0,3.0,8.0,23.0,5.0,3.0,0.636,0.6,0.717,0.0,0.0,2.0,39.354,31.0,31.394,2.0,0.335,0.717,0.717,1.571,1.542,1.521
NYI,2012,NYI,2012030112,NYI,PIT,AWAY,20130503,Team Level,4on5,0.0065,0.0667,0.0833,382.0,0.722,0.009,0.029,0.091,0.017,0.214,0.64,0.009,0.009,0.009,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.006,0.0,0.0,0.015,0.015,0.015,8.29,1.385,0.781,2.091,0.286,4.25,2.206,1.33,1.385,1.33,10.0,1.0,3.0,14.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,9.0,10.0,1.0,2.0,7.0,0.0,0.0,2.0,4.0,4.0,3.0,0.215,0.391,0.779,0.0,0.0,1.0,14.0,11.0,11.0,0.0,0.201,0.548,0.548,1.039,1.039,1.01
NYI,2012,NYI,2012030112,NYI,PIT,AWAY,20130503,Team Level,5on4,1.0,1.0,1.0,368.0,5.848,0.649,0.576,1.018,0.208,4.49,2.059,0.642,0.649,0.642,6.0,3.0,3.0,12.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.078,0.0,0.571,0.0,0.0,1.0,12.0,9.0,9.0,0.0,0.153,0.0,0.0,0.802,0.802,0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
