team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ANA,2008,ANA,2008030151,ANA,SJS,AWAY,20090416,Team Level,other,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703,0.042,0.054,0.088,0.019,0.597,0.199,0.042,0.042,0.042,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.014,0.0,0.0,0.056,0.056,0.056
ANA,2008,ANA,2008030151,ANA,SJS,AWAY,20090416,Team Level,all,0.4107,0.3838,0.3857,3600.0,18.569,1.531,1.193,4.39,0.624,11.025,8.238,1.524,1.598,1.591,17.0,10.0,11.0,38.0,2.0,0.0,0.0,5.0,0.0,11.0,9.0,15.0,25.0,6.0,12.0,28.0,27.0,5.0,11.0,23.0,3.0,1.0,0.757,0.343,0.431,1.0,0.0,1.0,39.682,27.0,28.136,4.0,0.262,0.0,0.0,1.793,1.872,1.864,29.502,2.197,2.06,6.406,0.953,17.855,13.528,2.127,2.122,2.054,35.0,8.0,18.0,61.0,0.0,3.0,0.0,9.0,1.0,11.0,19.0,35.0,43.0,4.0,8.0,22.0,33.0,9.0,19.0,36.0,6.0,1.0,1.077,0.773,0.347,0.0,0.0,0.0,59.54,43.0,41.87,4.0,0.453,0.497,0.497,2.153,2.084,2.065
ANA,2008,ANA,2008030151,ANA,SJS,AWAY,20090416,Team Level,5on5,0.4198,0.4769,0.4783,2444.0,15.004,1.06,0.938,3.58,0.515,8.845,7.062,1.054,1.127,1.12,12.0,10.0,9.0,31.0,1.0,0.0,0.0,5.0,0.0,9.0,7.0,11.0,21.0,5.0,10.0,19.0,26.0,4.0,11.0,19.0,3.0,0.0,0.717,0.343,0.0,1.0,0.0,0.0,32.682,22.0,23.136,4.0,0.193,0.0,0.0,1.254,1.332,1.324,16.947,1.465,1.124,3.853,0.546,10.023,6.99,1.405,1.389,1.333,20.0,4.0,10.0,34.0,0.0,2.0,0.0,5.0,1.0,4.0,12.0,20.0,24.0,4.0,8.0,12.0,32.0,7.0,17.0,19.0,4.0,1.0,0.544,0.573,0.347,0.0,0.0,0.0,32.54,24.0,22.87,4.0,0.227,0.41,0.41,1.282,1.213,1.204
ANA,2008,ANA,2008030151,ANA,SJS,AWAY,20090416,Team Level,4on5,0.0,0.0455,0.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37,0.654,0.796,2.091,0.315,6.469,3.675,0.644,0.654,0.644,11.0,3.0,7.0,21.0,0.0,1.0,0.0,2.0,0.0,6.0,5.0,11.0,14.0,0.0,0.0,3.0,1.0,1.0,2.0,12.0,2.0,0.0,0.455,0.199,0.0,0.0,0.0,0.0,21.0,14.0,14.0,0.0,0.191,0.087,0.087,0.758,0.758,0.748
ANA,2008,ANA,2008030151,ANA,SJS,AWAY,20090416,Team Level,5on4,0.9289,0.5455,0.5556,373.0,3.565,0.47,0.255,0.809,0.109,2.18,1.176,0.47,0.47,0.47,5.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.04,0.0,0.431,0.0,0.0,1.0,6.0,5.0,5.0,0.0,0.069,0.0,0.0,0.54,0.54,0.54,2.482,0.036,0.087,0.375,0.073,0.766,2.664,0.036,0.036,0.036,3.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.021,0.0,0.0,0.057,0.057,0.057
ANA,2008,ANA,2008030152,ANA,SJS,AWAY,20090419,Team Level,other,0.6132,0.25,0.5,59.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.041,0.074,0.103,0.022,0.603,0.157,0.041,0.041,0.041,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.018,0.0,0.0,0.059,0.059,0.059
ANA,2008,ANA,2008030152,ANA,SJS,AWAY,20090419,Team Level,all,0.3796,0.3806,0.3922,3600.0,27.828,2.807,2.002,6.085,0.936,15.59,11.646,2.657,2.943,2.787,26.0,14.0,11.0,51.0,3.0,4.0,2.0,7.0,0.0,15.0,11.0,23.0,37.0,5.0,10.0,27.0,28.0,6.0,12.0,31.0,7.0,2.0,0.813,0.86,1.134,0.0,1.0,2.0,53.456,40.0,41.787,4.0,0.483,1.181,1.181,2.043,2.172,2.144,44.233,4.588,3.578,9.614,1.396,26.041,16.782,4.35,4.415,4.183,44.0,18.0,21.0,83.0,2.0,5.0,0.0,8.0,1.0,23.0,23.0,42.0,60.0,2.0,4.0,30.0,40.0,9.0,21.0,44.0,13.0,5.0,1.544,1.896,1.148,1.0,1.0,0.0,79.65,62.0,59.614,8.0,0.803,0.879,0.879,4.512,4.34,4.211
ANA,2008,ANA,2008030152,ANA,SJS,AWAY,20090419,Team Level,5on5,0.3872,0.3837,0.3788,2585.0,17.78,1.709,1.037,3.928,0.6,9.877,7.848,1.655,1.845,1.785,16.0,9.0,8.0,33.0,2.0,1.0,1.0,5.0,0.0,8.0,9.0,14.0,23.0,5.0,10.0,19.0,26.0,5.0,11.0,17.0,7.0,1.0,0.601,0.86,0.249,0.0,1.0,1.0,35.456,25.0,26.787,3.0,0.211,0.249,0.249,1.671,1.8,1.785,29.336,2.705,2.087,6.734,0.925,16.568,11.981,2.565,2.531,2.398,28.0,13.0,12.0,53.0,2.0,4.0,0.0,5.0,0.0,16.0,14.0,26.0,39.0,2.0,4.0,20.0,37.0,7.0,14.0,30.0,9.0,2.0,0.958,1.288,0.459,1.0,1.0,0.0,49.65,41.0,38.614,7.0,0.434,0.636,0.636,2.503,2.33,2.274
ANA,2008,ANA,2008030152,ANA,SJS,AWAY,20090419,Team Level,4on5,0.0005,0.037,0.05,720.0,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.003,0.003,0.003,13.541,1.823,1.392,2.627,0.424,8.658,4.075,1.724,1.823,1.724,14.0,5.0,7.0,26.0,0.0,1.0,0.0,3.0,1.0,6.0,8.0,14.0,19.0,0.0,0.0,9.0,1.0,0.0,6.0,12.0,4.0,3.0,0.526,0.608,0.689,0.0,0.0,0.0,26.0,19.0,19.0,1.0,0.345,0.243,0.243,1.925,1.925,1.852
ANA,2008,ANA,2008030152,ANA,SJS,AWAY,20090419,Team Level,5on4,0.9819,0.9412,0.9286,236.0,9.748,1.031,0.955,2.146,0.325,5.703,2.839,0.936,1.031,0.936,10.0,3.0,3.0,16.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,9.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.147,0.0,0.885,0.0,0.0,1.0,16.0,13.0,13.0,0.0,0.27,0.932,0.932,0.369,0.369,0.356,0.767,0.019,0.025,0.149,0.025,0.213,0.569,0.019,0.019,0.019,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.025,0.025,0.025
